file_name,assembly_idx
0001.mol,2
0002.mol,3
0003.mol,2
0004.mol,2
0005.mol,2
0006.mol,2
0007.mol,2
0008.mol,2
0009.mol,2
0010.mol,2
0011.mol,2
0012.mol,2
0013.mol,2
0014.mol,3
0015.mol,2
0016.mol,2
0017.mol,2
0018.mol,2
0019.mol,2
0020.mol,2
0021.mol,3
0022.mol,2
0023.mol,3
0024.mol,2
0025.mol,2
0026.mol,2
0027.mol,3
0028.mol,2
0029.mol,2
0030.mol,2
0031.mol,2
0032.mol,2
0033.mol,2
0034.mol,2
0035.mol,3
0036.mol,2
0037.mol,2
0038.mol,2
0039.mol,2
0040.mol,2
0041.mol,2
0042.mol,2
0043.mol,2
0044.mol,3
0045.mol,3
0046.mol,3
0047.mol,3
0048.mol,4
0049.mol,2
0050.mol,2
0051.mol,2
0052.mol,3
0053.mol,3
0054.mol,4
0055.mol,4
0056.mol,2
0057.mol,3
0058.mol,2
0059.mol,3
0060.mol,2
0061.mol,3
0062.mol,2
0063.mol,3
0064.mol,3
0065.mol,3
0066.mol,3
0067.mol,2
0068.mol,3
0069.mol,3
0070.mol,3
0071.mol,3
0072.mol,3
0073.mol,3
0074.mol,3
0075.mol,3
0076.mol,4
0077.mol,3
0078.mol,4
0079.mol,4
0080.mol,3
0081.mol,3
0082.mol,4
0083.mol,4
0084.mol,4
0085.mol,4
0086.mol,3
0087.mol,3
0088.mol,3
0089.mol,3
0090.mol,3
0091.mol,3
0092.mol,3
0093.mol,3
0094.mol,3
0095.mol,3
0096.mol,3
0097.mol,3
0098.mol,3
0099.mol,3
0100.mol,3
0101.mol,4
0102.mol,2
0103.mol,3
0104.mol,3
0105.mol,3
0106.mol,3
0107.mol,4
0108.mol,3
0109.mol,3
0110.mol,3
0111.mol,3
0112.mol,3
0113.mol,4
0114.mol,4
0115.mol,4
0116.mol,3
0117.mol,3
0118.mol,3
0119.mol,4
0120.mol,3
0121.mol,3
0122.mol,3
0123.mol,4
0124.mol,3
0125.mol,4
0126.mol,3
0127.mol,3
0128.mol,4
0129.mol,4
0130.mol,4
0131.mol,4
0132.mol,3
0133.mol,3
0134.mol,3
0135.mol,3
0136.mol,3
0137.mol,3
0138.mol,3
0139.mol,3
0140.mol,3
0141.mol,3
0142.mol,3
0143.mol,3
0144.mol,3
0145.mol,3
0146.mol,3
0147.mol,2
0148.mol,2
0149.mol,3
0150.mol,3
0151.mol,3
0152.mol,3
0153.mol,3
0154.mol,4
0155.mol,3
0156.mol,3
0157.mol,3
0158.mol,3
0159.mol,3
0160.mol,3
0161.mol,3
0162.mol,4
0163.mol,4
0164.mol,3
0165.mol,3
0166.mol,3
0167.mol,4
0168.mol,4
0169.mol,4
0170.mol,3
0171.mol,3
0172.mol,3
0173.mol,3
0174.mol,3
0175.mol,3
0176.mol,3
0177.mol,3
0178.mol,3
0179.mol,3
0180.mol,3
0181.mol,3
0182.mol,3
0183.mol,3
0184.mol,4
0185.mol,3
0186.mol,4
0187.mol,3
0188.mol,3
0189.mol,3
0190.mol,3
0191.mol,3
0192.mol,3
0193.mol,3
0194.mol,4
0195.mol,4
0196.mol,4
0197.mol,3
0198.mol,3
0199.mol,3
0200.mol,4
0201.mol,4
0202.mol,3
0203.mol,4
